species,drug,model,n_target,n_actual,auroc
Staphylococcus aureus,methicillin,EN,500,500,0.997
Staphylococcus aureus,methicillin,LGB,500,500,0.9924
Staphylococcus aureus,methicillin,EN,1000,1000,0.9985
Staphylococcus aureus,methicillin,LGB,1000,1000,0.9931
Staphylococcus aureus,methicillin,EN,1058,1058,0.9966
Staphylococcus aureus,methicillin,LGB,1058,1058,0.9938
Enterococcus faecium,vancomycin,EN,500,500,
Enterococcus faecium,vancomycin,LGB,500,500,0.4375
Enterococcus faecium,vancomycin,EN,1000,1000,0.6712
Enterococcus faecium,vancomycin,LGB,1000,1000,0.3889
Enterococcus faecium,vancomycin,EN,1887,1887,0.7082
Enterococcus faecium,vancomycin,LGB,1887,1887,0.5539
Neisseria gonorrhoeae,ciprofloxacin,EN,500,500,0.9846
Neisseria gonorrhoeae,ciprofloxacin,LGB,500,500,0.9605
Neisseria gonorrhoeae,ciprofloxacin,EN,1000,1000,0.9897
Neisseria gonorrhoeae,ciprofloxacin,LGB,1000,1000,0.9914
Neisseria gonorrhoeae,ciprofloxacin,EN,2000,2000,0.9911
Neisseria gonorrhoeae,ciprofloxacin,LGB,2000,2000,0.9843
Neisseria gonorrhoeae,ciprofloxacin,EN,5000,5000,0.9885
Neisseria gonorrhoeae,ciprofloxacin,LGB,5000,5000,0.9861
Neisseria gonorrhoeae,ciprofloxacin,EN,7502,7502,0.9886
Neisseria gonorrhoeae,ciprofloxacin,LGB,7502,7502,0.987
Escherichia coli,ampicillin,EN,500,500,0.8759
Escherichia coli,ampicillin,LGB,500,500,0.8688
Escherichia coli,ampicillin,EN,1000,1000,0.7254
Escherichia coli,ampicillin,LGB,1000,1000,0.8229
Escherichia coli,ampicillin,EN,2000,2000,0.8749
Escherichia coli,ampicillin,LGB,2000,2000,0.8892
Escherichia coli,ampicillin,EN,5000,5000,0.909
Escherichia coli,ampicillin,LGB,5000,5000,0.8944
Escherichia coli,ampicillin,EN,10000,10000,0.9024
Escherichia coli,ampicillin,LGB,10000,10000,0.9067
Escherichia coli,ampicillin,EN,12113,12113,0.9063
Escherichia coli,ampicillin,LGB,12113,12113,0.9006
Salmonella enterica,ampicillin,EN,500,500,0.9812
Salmonella enterica,ampicillin,LGB,500,500,0.9395
Salmonella enterica,ampicillin,EN,1000,1000,0.9533
Salmonella enterica,ampicillin,LGB,1000,1000,0.9428
Salmonella enterica,ampicillin,EN,2000,2000,0.959
Salmonella enterica,ampicillin,LGB,2000,2000,0.9285
Salmonella enterica,ampicillin,EN,5000,5000,0.9615
Salmonella enterica,ampicillin,LGB,5000,5000,0.945
Salmonella enterica,ampicillin,EN,10000,10000,0.9634
Salmonella enterica,ampicillin,LGB,10000,10000,0.9592
Salmonella enterica,ampicillin,EN,27497,27497,0.9676
Salmonella enterica,ampicillin,LGB,27497,27497,0.9678
Salmonella enterica,tetracycline,EN,500,500,0.9331
Salmonella enterica,tetracycline,LGB,500,500,0.9531
Salmonella enterica,tetracycline,EN,1000,1000,0.9537
Salmonella enterica,tetracycline,LGB,1000,1000,0.958
Salmonella enterica,tetracycline,EN,2000,2000,0.9785
Salmonella enterica,tetracycline,LGB,2000,2000,0.9634
Salmonella enterica,tetracycline,EN,5000,5000,0.9736
Salmonella enterica,tetracycline,LGB,5000,5000,0.9733
Salmonella enterica,tetracycline,EN,10000,10000,0.9765
Salmonella enterica,tetracycline,LGB,10000,10000,0.9706
Salmonella enterica,tetracycline,EN,27049,27049,0.9787
Salmonella enterica,tetracycline,LGB,27049,27049,0.9788
